152,Jeffrey,Meyers
154,Jessie,Coulson
155,Jhumpa,Lahiri
156,Jim,DeFelice
157,Jim,Taylor
158,Joachim,K̦rber
159,Joanne,Greenberg
160,Joe,Mantegna
161,John,Bolen
162,John,Brunner
163,John,Cassaday
165,John,Fleming
166,John,Glover
167,John,Leonard
168,John,Nathan
170,John,Tenniel
171,Jonathan,Cecil
172,Joost,Elffers
174,June,Shiver
175,Justin,O'Brien
176,Karen,Blixen
178,Kate,William
182,Kyle,Freeman
183,Larry,Dixon
185,Laura,Engel
186,Laurence,Senelick
187,Laurie,Thompson
188,Lee,Yun-Hee
189,Leigh,Eddings
190,Leigh,Nichols
191,Len,Cariou
193,Leonard,Peikoff
195,Lin,Carter
196,Lincoln,Child
197,Linda,Asher
198,Lois,Lenski
199,Louis,Iribarne
201,Louis,Slobodkin
202,Luann,Walther
203,Lucia,Graves
204,Lynn,Sweat
205,Lynn,Willis
206,M.A.,Screech
208,Magnus,Magnusson
210,Mark,Bagley
211,Mark,LeVine
212,Mark,Musa
213,Mary,GrandPr̩
214,Maureen,Howard
215,Maxine,Paetro
217,Melvyn,Grant
218,Michael,Foreman
219,Michael,Hague
220,Michael,Hardt
221,Michael,Heath
222,Michael,Kandel
223,Michael,Ledwidge
224,Michael,Zulli
225,Monica,Gesue
226,N.K.,Sandars
227,Nadeem,Zaidi
228,Nadia,May
230,Ned,Dameron
231,Neil,Gaiman
232,Neil,Strauss
233,Nevill,Coghill
234,Nicola,Kraus
235,Omar,Rayyan
236,Otto,Penzler
237,Pat,Rogers
238,Paul,Kemprecos
239,Paul,Kidby
240,Paul,Roche
241,Pauline,Baynes
246,Peter,Hollindale
247,Peter,Needham
249,Peter,Straub
250,Peter,Theroux
251,Petrina,Tinslay
252,Philip,Gabriel
253,Philip,Pullman
254,Philippa,Gregory
255,Preston,McDaniels
256,Quentin,Blake
257,R.A.,Foakes
258,R.W.B.,Lewis
259,Rafael,Carpintero
260,Rainer,Funk
261,Ralph,Steadman
262,Ren̩e,Graef
