381,John Wiley & Sons
382,G. P. Putnam's Sons
383,Roc
384,Little  Brown Books for Young Readers
385,Del Rey Books
386,Dutton
387,University of California Press
388,Heyne
389,Villard
390,Motilal Banarsidass
391,Chicago Review Press
392,Focal Press
393,Harmony
394,Disney Press
395,For Dummies
396,Roaring Brook Press
397,Archipelago Books
398,Wiley
399,Running Press
400,Plume Books
401,Libros para ninos
402,Thames  Hudson
403,Orion Children's Books
404,Vintage Classics
405,Random House (Vintage)
406,Piper Taschenbuch
407,Simon & Schuster; Media Tie-In edition
408,Michael Joseph
409,PublicAffairs
410,Barron's Educational Series
411,Basic Books (AZ)
412,DC Comics
413,VIZ Media LLC
414,Starcatcher Press
415,FaithWords
416,Lama Foundation (San Cristobal  NM)
417,Disney-Hyperion
418,Keep It Simple Books
419,Dial Press
420,Rux Martin/Houghton Mifflin Harcourt
421,Warne
422,Graphics Press LLC
423,Julia MacRae
424,Allworth
425,Beckett Media
426,Jossey-Bass
427,Baen Books
428,Piper
429,Serpents Tail
430,Barrington Stoke
431,Johnson Publishing Company (IL)
432,Laurel Leaf Library
433,Apress
434,Pragmatic Bookshelf
435,Severn House
436,Hyperion Books
437,Planeta Publishing
438,Vision Forum
439,Atheneum Books
440,Felony & Mayhem
441,Watkins Publishing
442,Johns Hopkins University Press
443,Viking Books
444,Hachette Books
445,Paperback Library
446,Blanvalet Verlag GmbH
447,Thomas Y. Crowell Company
448,University of Massachusetts Press
449,dtv
450,Thames & Hudson
451,Bloomsbury / Continuum
452,Quest Books
453,Delacorte Books for Young Readers
454,Fantagraphics
455,Feral House
456,Random House Books for Young Readers
457,Orchard
458,Doubleday
459,Random House for Young Readers
460,Raintree
461,Gallimard
462,Cold Spring Harbor Laboratory Press
463,Chronicle Books
464,Secker
465,Roxford Books
466,Vertical
467,ECW Press
468,Artisan
469,Little  Brown Book Group
470,Delta Publishing
471,Sterling
472,Bison Books
473,Ecco
474,Pantheon
475,Eros Comix
476,Random House Audio Publishing Group
477,Acropolis Books (NY)
478,Encounter Books
479,Little Brown and Company
480,Black Swan
481,Pan Books
482,Tor
483,P & R Publishing
484,TokyoPop
485,Gl̩nat
486,Verso
487,Top Shelf Productions
488,Shueisha
489,University of Minnesota Press
490,Plexus Publishing Ltd
491,Little  Brown and Company
492,Leisure Books
493,Le Livre de Poche
494,Arrow
495,Simon & Schuster Audio
496,University Press of Kentucky
497,Stackpole Books
498,Gauntlet Press
499,Berkley Hardcover
500,Eos
501,Harvard Business Review Press
