452,Augustine of Hippo 
453,Avi 
454,Ayn Rand
455,Ayn Rand 
456,Azar Nafisi 
457,Barack Obama 
458,Barbara Conklin 
459,Barbara Ehrenreich 
460,Barbara Kingsolver 
461,Barbara Nadel 
462,Barbara Park
463,Barbara Taylor Bradford 
464,Barry Lopez 
465,Barthe DeClements 
466,Beatrix Potter 
467,bell hooks 
468,Ben Elton 
469,Bernard Cornwell
470,Bernard Cornwell 
471,Bernard Malamud
472,Bernard Williams 
473,Betty MacDonald
474,Bill Bryson
475,Bill Bryson 
476,Bill Clinton 
477,Bill Hybels
478,Bill Maher 
479,Bill Phillips 
480,Bill Watterson 
481,Billy Collins 
482,Billy Crystal
483,Blake Nelson
484,Blake Nelson 
485,Bob Woodward
486,Bob Woodward 
487,Brad Thor 
488,Brady Games 
489,Bram Stoker
490,Bram Stoker 
491,Brenda Joyce 
492,Bret Easton Ellis 
493,Brian Boyd 
494,Brian Greene 
495,Brian Herbert
496,Brian Jacques
497,Brian Jacques 
498,Brian Michael Bendis
499,Brian Sibley
500,Bruce Catton
501,Bruce Coville
502,Bryan Sykes 
503,Bryce Courtenay 
504,C.D. Payne 
505,C.E. Murphy 
506,C.S. Friedman 
507,C.S. Lewis
508,C.S. Lewis 
509,Cait London 
510,Candace Bushnell 
511,Candace Ward 
512,Carl Hiaasen
513,Carl Hiaasen 
514,Carlos CastaÃ±eda 
515,Carlos Ruiz ZafÃ³n
516,Carlos Ruiz ZafÃ³n 
517,Carol Shields 
518,Carole Marsh 
519,Caroline B. Cooney 
520,Carolyn Keene
521,Carolyn Keene 
522,Carolyn Meyer 
523,Carrie Vaughn 
524,Carroll John Daly 
525,Catherine Coulter 
526,Catherine Hapka 
527,Cecelia Ahern 
528,Cecily von Ziegesar 
529,Celeste Bradley 
530,Chaim Potok 
531,Charlaine Harris 
532,Charles Baudelaire
533,Charles Bukowski 
534,Charles Burns 
535,Charles Darwin
536,Charles Dickens
537,Charles Dickens 
538,Charles Frazier 
539,Charles R. Swindoll 
540,Charles Stross 
541,Charles Taylor 
542,Charles Todd 
543,Charles Willeford
544,Charles Willeford 
545,Charlie Huston 
546,Charlotte BrontÃ«
547,Cheri Huber
548,Chie Shinohara 
549,Chiho Saito 
550,Chinua Achebe 
551,Chris L. Demarest 
552,Chris Manby 
553,Chris Offutt 
554,Chris Ware 
555,Christina Scull
556,Christine Feehan 
557,Christopher Hitchens 
558,Christopher Isherwood 
559,Christopher Janaway 
560,Christopher Moore 
561,Chuck Klosterman 
562,Chuck Palahniuk
563,Chuck Palahniuk 
564,Claire Messud 
565,CLAMP
566,CLAMP 
567,Clive Barker 
568,Clive Cussler
569,Clive Cussler 
570,Colin Wells 
571,Colin Wilson 
572,Colleen McCullough 
573,Colm TÃ³ibÃ­n 
574,Colson Whitehead 
575,Confucius
576,Connie Willis 
577,Cook's Illustrated Magazine 
578,Cormac McCarthy 
579,Cornelia Funke
580,Cory Doctorow 
581,Craig Thompson 
582,Cynthia Harrod-Eagles 
583,Cynthia Rylant
584,Cynthia Voigt 
585,D.H. Lawrence
586,D.H. Lawrence 
587,D.T. Max 
588,Daisy Meadows
589,Dalai Lama XIV
590,Dale Brown
591,Dale Carnegie 
592,Dale Peck 
593,Dan Birlew 
594,Dan Brown
595,Dan Brown 
596,Dan Harrington
597,Dan Millman 
598,Dan Savage 
599,Dan Simmons
600,Dan Simmons 
601,Daniel Abdal-Hayy Moore 
602,Daniel C. Dennett 
603,Daniel Clowes 
604,Daniel Defoe
605,Daniel Goleman 
606,Daniel Jonah Goldhagen 
607,Daniel Keyes 
608,Daniel Wallace
609,Danielle Steel 
610,Dante Alighieri
611,Danzy Senna 
612,Darren Shan 
613,Dashiell Hammett 
614,Dava Sobel 
615,Dave Eggers
616,Dave Eggers 
617,David Allen 
618,David Almond 
619,David Baldacci 
620,David Bodanis 
621,David Burnie
622,David Burnie 
623,David D. Burns 
624,David Eddings
625,David Eddings 
626,David Foster Wallace 
627,David Gemmell 
628,David Goodis 
629,David H. Chilton 
630,David Hackett Fischer 
631,David James Duncan 
632,David Levithan 
633,David Lindsay-Abaire 
634,David Lubar 
635,David Malouf 
636,David Mamet 
